"src_name"
"Achilles"
"Adamus"
"Amadeus"
"Anakreon"
"Antonius"
"Archimédes"
"Aristofanes"
"Aristoteles"
"Augustinus"
"Augustus"
"Aurelius"
"Celsius"
"Cibelius"
"Cyrus"
"Damokles"
"Darius"
"Descartes"
"Dionýsos"
"Démokritos"
"Empedokles"
"Erasmus"
"Eukleides"
"Eustachos"
"Flavius"
"Fromelius"
"Gradus"
"Hanzalius"
"Herkules"
"Hermes"
"Herodes"
"Hieronymus"
"Hipparchos"
"Hérakleitos"
"Hérakles"
"Hérostrates"
"Hésiodos"
"Ikaros"
"Janus"
"Josefus"
"Julius"
"Juliús"
"Július"
"Kolumbus"
"Konfucius"
"Kornelius"
"Kramerius"
"Kristus"
"Margolius"
"Marsyas"
"Mathesius"
"Nilius"
"Nostradamus"
"Odysseus"
"Oidipus"
"Oliverius"
"Ovidius"
"Padus"
"Paulus"
"Paulus Gradus"
"Perikles"
"Pistorius"
"Pius"
"Platon"
"Plutarchos"
"Ptolemaios"
"Pyrrhos"
"Sirius"
"Sisyfos"
"Sokrates"
"Spartakus"
"Sysifos"
"Sírius"
"Tacitus"
"Tantalos"
"Timoteus"
"Titus"
