"prefixSrc";"numberLength";"prefixTgt"
"06535";"5";"5535"
"06536";"5";"5536"
"06537";"5";"5537"
"06538";"5";"5538"
"065430";"4";"55630"
"065431";"4";"55631"
"0654320";"3";"556311"
"0654324";"3";"556314"
"0654330";"3";"556312"
"0654360";"3";"556313"
"0654377";"3";"556317"
"0654380";"3";"556315"
"0654390";"3";"556316"
"065466";"4";"55666"
"065489";"4";"55689"
"065540";"4";"55640"
"065541";"4";"55641"
"065542";"4";"55642"
"0655430";"3";"556418"
"0655450";"3";"556413"
"0655455";"3";"556455"
"0655458";"3";"556408"
"0655460";"3";"556422"
"0655461";"3";"556431"
"065547";"4";"55647"
"0655480";"3";"556414"
"0655481";"3";"556423"
"06556";"5";"5566"
"06562";"5";"5562"
"065644";"4";"55644"
"06566";"5";"5566"
"06567";"5";"5567"
"065680";"4";"55680"
"065681";"4";"55681"
"065682";"4";"55682"
"065683";"4";"55683"
"065684";"4";"55684"
"065685";"4";"55685"
"065686";"4";"55686"
"065687";"4";"55687"
"065688";"4";"55688"
"065689";"4";"55649"
"06569";"5";"5569"
"06573";"5";"5713"
"06574";"5";"5714"
"06576";"5";"5714"
"06578";"5";"5718"
"06584";"5";"5584"
"06586";"5";"5586"
"06588";"5";"5588"
"06589";"5";"5589"
"06592";"5";"5582"
"065930";"4";"55830"
"065932";"4";"55832"
"065933";"4";"55833"
"065934";"4";"55834"
"065935";"4";"55835"
"065936";"4";"55836"
"0659370";"3";"558360"
"0659372";"3";"558361"
"065938";"4";"55838"
"06594";"5";"5585"
"06597";"5";"5587"
"06598";"5";"5588"
"06599";"5";"5589"
"0664";"6";"564"
"0667";"6";"567"
"0676";"6";"576"
"06770";"5";"5770"
"06771";"5";"5771"
"06772";"5";"5772"
"06774";"5";"5774"
"06775";"5";"5775"
"06776";"5";"5776"
"067770";"4";"57709"
"067777";"4";"57707"
"06779";"5";"5779"
"068506";"4";"58516"
"06851";"5";"5851"
"06852";"5";"5852"
"06853";"5";"5853"
"06854";"5";"5854"
"06855";"5";"5855"
"06856";"5";"5856"
"06857";"5";"5857"
"06858";"5";"5858"
"06859";"5";"5859"
"0687";"6";"587"
"0688";"6";"588"
"06929";"5";"5959"
"0695";"6";"595"
"0696";"6";"596"
"0697";"6";"597"
"0698";"6";"598"
"07";"8";"7"
"08";"8";"8"
"09";"8";"9"
