key;code;res_client_type;standardized_form
ORGANIZACNI JEDNOTKA SDRUZENI;731;PO;Organizaèní jednotka sdruení
ORGANIZACNI JEDNOTKA POLITICKE STRANY, POLITICKEHO HNUTI;732;PO;Organizaèní jednotka politické strany, politického hnutí
ORGANIZACNI JEDNOTKA ODBOROVE ORGANIZACE A ORGANIZACE ZAMESTNAVATELU;733;PO;Organizaèní jednotka odborové organizace a organizace zamìstnavatelù
POBOCNY SPOLEK;736;PO;Poboènı spolek
STAVOVSKA ORGANIZACE - PROFESNI KOMORA;741;PO;Stavovská organizace - profesní komora
KOMORA;745;PO;Komora (s vıjimkou profesních komor)
ZAJMOVE SDRUZENI PRAVNICKYCH OSOB;751;PO;Zájmové sdruení právnickıch osob
HONEBNI SPOLECENSTVO;761;PO;Honební spoleèenstvo
SVAZEK OBCI;771;PO;Svazek obcí
OBEC;801;PO;Obec nebo mìstská èást hlavního mìsta Prahy
KRAJ;804;PO;Kraj
RRRS;805;PO;Regionální rada regionu soudrnosti
ZOJS;901;PO;Zastupitelskı orgán jinıch státù
ZAHRANICNI SPOLEK;906;PO;Zahranièní spolek
MEZINARODNI ODBOROVA ORGANIZACE;907;PO;Mezinárodní odborová organizace
MEZINARODNI ORGANIZACE ZAMESTNAVATELU;908;PO;Mezinárodní organizace zamìstnavatelù
ZAHRANICNI KULTURNI, INFORMACNI STREDISKO, ROZHLASOVA, TISKOVA A TELEVIZNI AGENTURA;911;PO;Zahranièní kulturní, informaèní støedisko, rozhlasová, tisková a televizní agentura
MEZINARODNI ORGANIZACE A SDRUZENI;921;PO;Mezinárodní organizace a sdruení
ORGANIZACNI JEDNOTKA ORGANIZACE S MEZINARODNIM PRVKEM;922;PO;Organizaèní jednotka organizace s mezinárodním prvkem
EHZS;931;PO;Evropské hospodáøské zájmové sdruení
ES;932;PO;Evropská spoleènost
EDS;933;PO;Evropská drustevní spoleènost
ZAHRANICNI POBOCNY SPOLEK;936;PO;Zahranièní poboènı spolek
POBOCNA MEZINARODNI ODBOROVA ORGANIZACE;937;PO;Poboèná mezinárodní odborová organizace
POBOCNA MEZINARODNI ORGANIZACE ZAMESTNAVATELU;938;PO;Poboèná mezinárodní organizace zamìstnavatelù
EVROPSKE SESKUPENI PRO UZEMNI SPOLUPRACI;941;PO;Evropské seskupení pro územní spolupráci
SUBJEKT PRAVNIM RADEM VYSLOVNE NEUPRAVENY;950;PO;Subjekt právním øádem vıslovnì neupravenı
