value                                     ;replacement
",ILETIN"                                 ;"MiletÌn"
",MOST"                                   ;"Most"
",OR. BUDEJOVICE"                         ;"MoravskÈ BudÏjovice"
",OST"                                    ;"Most"
". JIRETIN"                               ;"Ji¯etÌn"
". JIÿETÕN"                               ;"Ji¯etÌn"
". KOSICE"                                ;"Koöice"
". KOäICE"                                ;"Koöice"
". USTI NAD LABEM"                        ;"⁄stÌ nad Labem"
". ⁄STÕ NAD LABEM"                        ;"⁄stÌ nad Labem"
".PAVA"                                   ;"Opava"
".PROSTEJOV"                              ;"ProstÏjov"
".STARIC"                                 ;"Sta¯ÌË"
".STAÿÕ»"                                 ;"Sta¯ÌË"
".STODULKY"                               ;"Stod˘lky"
".VETLA NAD SAZAVOU"                      ;"SvÏtl· nad S·zavou"
"/LZEN"                                   ;"PlzeÚ"
"/LZE“"                                   ;"PlzeÚ"
"/RAHA"                                   ;"Praha"
"/STI NAD ORLICI"                         ;"⁄stÌ nad OrlicÌ"
"/STÕ NAD ORLICÕ"                         ;"⁄stÌ nad OrlicÌ"
"0PAVA"                                   ;"Opava"
"0STRAVA"                                 ;"Ostrava"
"0STRAVA PORUBA"                          ;"Ostrava-Poruba"
"3 DVORY"                                 ;"T¯i Dvory"
"3 SEKERY"                                ;"T¯i Sekery"
"ADRSPACH"                                ;"Adröpach"
"ALBER"                                   ;"Albe¯"
"ALBRECHT V JIZ HOR"                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ HOR."                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ HORACH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ HOR¡CH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ. HOR"                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ. HOR."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ. HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ. HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ.HOR"                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ.HOR."                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ.HORACH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ.HOR¡CH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ HOR"                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ HOR."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ. HOR"                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ. HOR."                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ. HORACH"                 ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ. HOR¡CH"                 ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ.HOR"                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ.HOR."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ.HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ.HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ HOR"                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ HOR."                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ HORACH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ HOR¡CH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ. HOR"                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ. HOR."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ. HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ. HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ.HOR"                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ.HOR."                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ.HORACH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ.HOR¡CH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE N O"                         ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N O."                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N ORL"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N ORL."                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N ORLICI"                    ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N V"                         ;"Albrechtice nad Vltavou"
"ALBRECHTICE N V."                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VL"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VL."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VLT"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VLT."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VLTAVOU"                   ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. O"                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. O."                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. ORL"                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. ORL."                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. ORLICI"                   ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. V"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. V."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VL"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VL."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VLT"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VLT."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VLTAVOU"                  ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ O"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ O."                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ ORL"                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ ORL."                    ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ ORLICI"                  ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ V"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ V."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VL"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VL."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VLT"                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VLT."                    ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VLTAVOU"                 ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./O"                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./O."                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ORL"                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ORL."                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ORLICI"                   ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./V"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./V."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VL"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VL."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VLT"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VLT."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VLTAVOU"                  ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.O"                         ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.O."                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.ORL"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.ORL."                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.ORLICI"                    ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.V"                         ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.V."                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VL"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VL."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VLT"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VLT."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VLTAVOU"                   ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ O"                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ O."                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ ORL"                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ ORL."                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ ORLICI"                   ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ V"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ V."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VL"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VL."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VLT"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VLT."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VLTAVOU"                  ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/O"                         ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/O."                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ORL"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ORL."                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ORLICI"                    ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/V"                         ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/V."                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/VL"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/VL."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/VLT"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/VLT."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/VLTAVOU"                   ;"Albrechtice nad Vltavou"
"ALBRECHTICE NAD O"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NAD O."                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NAD ORL"                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NAD ORL."                    ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NAD ORLICI"                  ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NAD V"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE NAD V."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE NAD VL"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE NAD VL."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE NAD VLT"                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE NAD VLT."                    ;"Albrechtice nad Vltavou"
"ALBRECHTICE NO"                          ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NO."                         ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NORL"                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NORL."                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NORLICI"                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE NV"                          ;"Albrechtice nad Vltavou"
"ALBRECHTICE NV."                         ;"Albrechtice nad Vltavou"
"ALBRECHTICE NVL"                         ;"Albrechtice nad Vltavou"
"ALBRECHTICE NVL."                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE NVLT"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE NVLT."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE NVLTAVOU"                    ;"Albrechtice nad Vltavou"
"ALBRECHTICE U C. TESINA"                 ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U C.T."                      ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U C.TE"                      ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U C.TESINA"                  ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U CES. TESINA"               ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U CES.TESINA"                ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U CESKEHO TESINA"            ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U FRYDLANTU"                 ;"Albrechtice u Fr˝dlantu"
"ALBRECHTICE U RYMAROVA"                  ;"Albrechtice u R˝ma¯ova"
"ALBRECHTICE U ». TÃäÕNA"                 ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U ».T."                      ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U ».TÃäÕNA"                  ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U »ES. TÃäÕNA"               ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE U »ES.TÃäÕNA"                ;"Albrechtice u »eskÈho TÏöÌna"
"ALBRECHTICE V J. HORACH"                 ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V J. HOR¡CH"                 ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V J.H."                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V J.HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V J.HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ HOR"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ HOR."                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ HORACH"                ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ HOR¡CH"                ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ."                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ. H."                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ. HOR"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ. HOR."                 ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ. HORACH"               ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ. HOR¡CH"               ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ.H."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ.HOR"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ.HOR."                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ.HORACH"                ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZ.HOR¡CH"                ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZER. HORACH"             ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZER. HOR¡CH"             ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZERS. HOR"               ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZERSKYCH H."             ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZERSKYCH HOR."           ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZERSKYCH HORACH"         ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZERSK›CH H."             ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V JIZERSK›CH HOR."           ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE V.JIZ."                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE VJH"                         ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICKY"                            ;"AlbrechtiËky"
"ALBRECHTIVE NAD VLT."                    ;"Albrechtice nad Vltavou"
"ALBÿECHTICE V J.H."                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALEJE-ZATISI"                            ;"Aleje-Z·tiöÌ"
"ALSOVICE"                                ;"Alöovice"
"ALZBETIN"                                ;"AlûbÏtÌn"
"AMALIN"                                  ;"AmalÌn"
"AND HORA"                                ;"AndÏlsk· Hora"
"AND. HORA"                               ;"AndÏlsk· Hora"
"AND.HORA"                                ;"AndÏlsk· Hora"
"ANDEL HORA"                              ;"AndÏlsk· Hora"
"ANDEL STRAZCE"                           ;"AndÏl Str·ûce"
"ANDEL. HORA"                             ;"AndÏlsk· Hora"
"ANDEL.HORA"                              ;"AndÏlsk· Hora"
"ANDELICE"                                ;"AndÏlice"
"ANDELKA"                                 ;"AndÏlka"
"ANDELSKA HORA"                           ;"AndÏlsk· Hora"
"ANDÃL HORA"                              ;"AndÏlsk· Hora"
"ANDÃL. HORA"                             ;"AndÏlsk· Hora"
"ANDÃL.HORA"                              ;"AndÏlsk· Hora"
"ANENSKA STUDANKA"                        ;"Anensk· Stud·nka"
"ANENSKA VES"                             ;"Anensk· Ves"
"ANENSKE SLATINNE LAZNE"                  ;"L·znÏ BÏlohrad"
"ANENSK… SLATINN… L¡ZNÃ"                  ;"L·znÏ BÏlohrad"
"ANNIN"                                   ;"AnnÌn"
"ANNIN-TOVACOV"                           ;"AnnÌn-TovaËov"
"ANTONINOV"                               ;"AntonÌnov"
"ANTONINOVA V"                            ;"AntonÌnova V˝öina"
"ANTONINOVA V."                           ;"AntonÌnova V˝öina"
"ANTONINOVA VYS"                          ;"AntonÌnova V˝öina"
"ANTONINOVA VYS."                         ;"AntonÌnova V˝öina"
"ANTONINOVA VYSINA"                       ;"AntonÌnova V˝öina"
"ANTONINUV DUL"                           ;"AntonÌn˘v D˘l"
"ANTONÕNOVA V"                            ;"AntonÌnova V˝öina"
"ANTONÕNOVA V."                           ;"AntonÌnova V˝öina"
"ANTONÕNOVA V›ä"                          ;"AntonÌnova V˝öina"
"ANTONÕNOVA V›ä."                         ;"AntonÌnova V˝öina"
"ANTOSOVICE"                              ;"Antoöovice"
"ARNESTOVICE"                             ;"Arneötovice"
"ARNOLTICE U DECINA"                      ;"Arnoltice u DÏËÌna"
"ARNOSTKA"                                ;"Arnoötka"
"ARNOSTOV"                                ;"Arnoötov"
"ARNOSTOVICE"                             ;"Arnoötovice"
"AS"                                      ;"Aö"
"B PODOLI"                                ;"BÌlÈ PodolÌ"
"B PODOLÕ"                                ;"BÌlÈ PodolÌ"
"B POTOK"                                 ;"BÌl˝ Potok"
"B TREMESNA"                              ;"BÌl· T¯emeön·"
"B TÿEMEäN¡"                              ;"BÌl· T¯emeön·"
"B UJEZD"                                 ;"BÌl˝ ⁄jezd"
"B ⁄JEZD"                                 ;"BÌl˝ ⁄jezd"
"B. PODOLI"                               ;"BÌlÈ PodolÌ"
"B. PODOLÕ"                               ;"BÌlÈ PodolÌ"
"B. POTOK"                                ;"BÌl˝ Potok"
"B. TREMESNA"                             ;"BÌl· T¯emeön·"
"B. TÿEMEäN¡"                             ;"BÌl· T¯emeön·"
"B. UJEZD"                                ;"BÌl˝ ⁄jezd"
"B. ⁄JEZD"                                ;"BÌl˝ ⁄jezd"
"B.PODOLI"                                ;"BÌlÈ PodolÌ"
"B.PODOLÕ"                                ;"BÌlÈ PodolÌ"
"B.POTOK"                                 ;"BÌl˝ Potok"
"B.TREMESNA"                              ;"BÌl· T¯emeön·"
"B.TÿEMEäN¡"                              ;"BÌl· T¯emeön·"
"B.UJEZD"                                 ;"BÌl˝ ⁄jezd"
"B.⁄JEZD"                                 ;"BÌl˝ ⁄jezd"
"BAB U ROSIC"                             ;"Babice u Rosic"
"BAB. U ROSIC"                            ;"Babice u Rosic"
"BAB.U ROSIC"                             ;"Babice u Rosic"
"BABCICE"                                 ;"BabËice"
"BABI"                                    ;"BabÌ"
"BABICE N S"                              ;"Babice nad Svitavou"
"BABICE N S."                             ;"Babice nad Svitavou"
"BABICE N SVIT"                           ;"Babice nad Svitavou"
"BABICE N SVIT."                          ;"Babice nad Svitavou"
"BABICE N SVITAVOU"                       ;"Babice nad Svitavou"
"BABICE N. S"                             ;"Babice nad Svitavou"
"BABICE N. S."                            ;"Babice nad Svitavou"
"BABICE N. SVIT"                          ;"Babice nad Svitavou"
"BABICE N. SVIT."                         ;"Babice nad Svitavou"
"BABICE N. SVITAVOU"                      ;"Babice nad Svitavou"
"BABICE N./ S"                            ;"Babice nad Svitavou"
"BABICE N./ S."                           ;"Babice nad Svitavou"
"BABICE N./ SVIT"                         ;"Babice nad Svitavou"
"BABICE N./ SVIT."                        ;"Babice nad Svitavou"
"BABICE N./ SVITAVOU"                     ;"Babice nad Svitavou"
"BABICE N./S"                             ;"Babice nad Svitavou"
"BABICE N./S."                            ;"Babice nad Svitavou"
"BABICE N./SVIT"                          ;"Babice nad Svitavou"
"BABICE N./SVIT."                         ;"Babice nad Svitavou"
"BABICE N./SVITAVOU"                      ;"Babice nad Svitavou"
"BABICE N.S"                              ;"Babice nad Svitavou"
"BABICE N.S."                             ;"Babice nad Svitavou"
"BABICE N.SV."                            ;"Babice nad Svitavou"
"BABICE N.SVIT"                           ;"Babice nad Svitavou"
"BABICE N.SVIT."                          ;"Babice nad Svitavou"
"BABICE N.SVITAV."                        ;"Babice nad Svitavou"
"BABICE N.SVITAVOU"                       ;"Babice nad Svitavou"
"BABICE N/ S"                             ;"Babice nad Svitavou"
"BABICE N/ S."                            ;"Babice nad Svitavou"
"BABICE N/ SVIT"                          ;"Babice nad Svitavou"
"BABICE N/ SVIT."                         ;"Babice nad Svitavou"
"BABICE N/ SVITAVOU"                      ;"Babice nad Svitavou"
"BABICE N/S"                              ;"Babice nad Svitavou"
"BABICE N/S."                             ;"Babice nad Svitavou"
"BABICE N/SVIT"                           ;"Babice nad Svitavou"
"BABICE N/SVIT."                          ;"Babice nad Svitavou"
"BABICE N/SVITAVOU"                       ;"Babice nad Svitavou"
"BABICE NAD S"                            ;"Babice nad Svitavou"
"BABICE NAD S."                           ;"Babice nad Svitavou"
"BABICE NAD SVIT"                         ;"Babice nad Svitavou"
"BABICE NAD SVIT."                        ;"Babice nad Svitavou"
"BABICE NS"                               ;"Babice nad Svitavou"
"BABICE NS."                              ;"Babice nad Svitavou"
"BABICE NSVIT"                            ;"Babice nad Svitavou"
"BABICE NSVIT."                           ;"Babice nad Svitavou"
"BABICE NSVITAVOU"                        ;"Babice nad Svitavou"
"BABICE U ROS"                            ;"Babice u Rosic"
"BABICE U ROS."                           ;"Babice u Rosic"
"BABICE U U.H."                           ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH."                            ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH. H."                         ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH. HRAD."                      ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH. HRADISE."                   ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH. HRADISTE"                   ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH. HRADISTE."                  ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH. HRADIäTÃ"                   ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH. HRADIäTÃ."                  ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH. HRADIäÃ."                   ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH.HRAD."                       ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH.HRADISTE"                    ;"Babice u UherskÈho HradiötÏ"
"BABICE U UH.HRADIäTÃ"                    ;"Babice u UherskÈho HradiötÏ"
"BABICE U UHER. HRADISTE"                 ;"Babice u UherskÈho HradiötÏ"
"BABICE U UHER. HRADIäTÃ"                 ;"Babice u UherskÈho HradiötÏ"
"BABICE U UHER.HRADISTE"                  ;"Babice u UherskÈho HradiötÏ"
"BABICE U UHER.HRADIäTÃ"                  ;"Babice u UherskÈho HradiötÏ"
"BABICE U UHERSKEHO HRADISTE"             ;"Babice u UherskÈho HradiötÏ"
"BABICE UROS"                             ;"Babice u Rosic"
"BABICE UROS."                            ;"Babice u Rosic"
"BABICE UROSIC"                           ;"Babice u Rosic"
"BABIN"                                   ;"BabÌn"
"BABINY V.BREZNONOVA VES"                 ;"Babiny"
"BABINY V.BÿEZNONOV¡ VES"                 ;"Babiny"
"BACALKY"                                 ;"BaËalky"
"BACETIN"                                 ;"BaËetÌn"
"BACICE"                                  ;"BaËice"
"BACKOV"                                  ;"BaËkov"
"BACKOVICE"                               ;"BaËkovice"
"BACOVICE"                                ;"B·covice"
"BADAIBLING"                              ;"Bad Aibling"
"BADISCHL"                                ;"Bad Ischl"
"BAKOV N J"                               ;"Bakov nad Jizerou"
"BAKOV N J."                              ;"Bakov nad Jizerou"
"BAKOV N JIZ"                             ;"Bakov nad Jizerou"
"BAKOV N JIZ."                            ;"Bakov nad Jizerou"
"BAKOV N JIZEROU"                         ;"Bakov nad Jizerou"
"BAKOV N. J"                              ;"Bakov nad Jizerou"
"BAKOV N. J."                             ;"Bakov nad Jizerou"
"BAKOV N. JIZ"                            ;"Bakov nad Jizerou"
"BAKOV N. JIZ."                           ;"Bakov nad Jizerou"
"BAKOV N. JIZEROU"                        ;"Bakov nad Jizerou"
"BAKOV N./ J"                             ;"Bakov nad Jizerou"
"BAKOV N./ J."                            ;"Bakov nad Jizerou"
"BAKOV N./ JIZ"                           ;"Bakov nad Jizerou"
"BAKOV N./ JIZ."                          ;"Bakov nad Jizerou"
"BAKOV N./J"                              ;"Bakov nad Jizerou"
"BAKOV N./J."                             ;"Bakov nad Jizerou"
"BAKOV N./JIZ"                            ;"Bakov nad Jizerou"
"BAKOV N./JIZ."                           ;"Bakov nad Jizerou"
"BAKOV N.J"                               ;"Bakov nad Jizerou"
"BAKOV N.J."                              ;"Bakov nad Jizerou"
"BAKOV N.JIZ"                             ;"Bakov nad Jizerou"
"BAKOV N.JIZ."                            ;"Bakov nad Jizerou"
"BAKOV N.JIZEROU"                         ;"Bakov nad Jizerou"
"BAKOV N/ J"                              ;"Bakov nad Jizerou"
"BAKOV N/ J."                             ;"Bakov nad Jizerou"
"BAKOV N/ JIZ"                            ;"Bakov nad Jizerou"
"BAKOV N/ JIZ."                           ;"Bakov nad Jizerou"
"BAKOV N/ JIZEROU"                        ;"Bakov nad Jizerou"
"BAKOV N/J"                               ;"Bakov nad Jizerou"
"BAKOV N/J."                              ;"Bakov nad Jizerou"
"BAKOV N/JIZ"                             ;"Bakov nad Jizerou"
"BAKOV N/JIZ."                            ;"Bakov nad Jizerou"
"BAKOV N/JIZEROU"                         ;"Bakov nad Jizerou"
"BAKOV NAD J"                             ;"Bakov nad Jizerou"
"BAKOV NAD J."                            ;"Bakov nad Jizerou"
"BAKOV NAD JIZ"                           ;"Bakov nad Jizerou"
"BAKOV NAD JIZ."                          ;"Bakov nad Jizerou"
"BAKOV NJ"                                ;"Bakov nad Jizerou"
"BAKOV NJ."                               ;"Bakov nad Jizerou"
