value;replacement
ANT. DVOÿ¡KA;DVOÿ¡KOVA
DR. ANTONÕNA DVOÿ¡KA;DVOÿ¡KOVA
ANTONÕNA DVOÿ¡KA;DVOÿ¡KOVA
DR. A. DVOÿ¡KA;DVOÿ¡KOVA
äT. DVOÿ¡KA;DVOÿ¡KOVA
BASSOVA;EDUARDA BASSE
URXOVA;EDUARDA URXE
ED. URXE;EDUARDA URXE
GEN. ELI¡äE;ELI¡äOVA
NPOR. ELI¡äE;ELI¡äOVA
KR¡SNOHORSK…;ELIäKY KR¡SNOHORSK…
E. KR¡SNOHORSK…;ELIäKY KR¡SNOHORSK…
EL. KR¡SNOHORSK…;ELIäKY KR¡SNOHORSK…
DR. ENGLA;ENGLOVA
KPT. MACHA;ERNSTA MACHA
E. ROäICK…HO;EVéENA ROäICK…HO
ROäICK…HO;EVéENA ROäICK…HO
MUDR. ANTONÕNA FABI¡NA;FABI¡NOVA
GEN. FANTY;FANTOVA
DR. KARLA FARSK…HO;FARSK…HO
KPT. FEJFARA;FEJFAROVA
LADISLAVA FIALY;FIALOVA
MILANA FIALY;FIALOVA
DR. KARLA FIALY;FIALOVA
JOS. FIALY;FIALOVA
Z. FIBICHA;FIBICHOVA
ZDE“KA FIBICHA;FIBICHOVA
JANA FIBICHA;FIBICHOVA
ZD. FIBICHA;FIBICHOVA
BART¡KOVA;FILIPA BART¡KA
DR. FILIPA;FILIPOVA
J. B. FOERSTERA;FOERSTEROVA
DR. J. B. FOERSTERA;FOERSTEROVA
FOERSTROVA;FOERSTEROVA
DR. FOUSTKY;FOUSTKOVA
TICH…HO;FR. TICH…HO
MUDR. TICH…HO;FR. TICH…HO
AD¡MKOVA;FRANTIäKA AD¡MKA
GROHOVA;FRANTIäKA GROHA
FR. GR”HA;FRANTIäKA GROHA
FR. HALASE;FRANTIäKA HALASE
HALASOVA;FRANTIäKA HALASE
SÕDLIäTÃ F. HRUBÕNA;FRANTIäKA HRUBÕNA
FR. HRUBÕNA;FRANTIäKA HRUBÕNA
