value;replacement
N¡MÃSTÕ F. KÿIéÕKA;N¡MÃSTÕ FRANTIäKA KÿIéÕKA
NERUDOVO N¡MÃSTÕ;N¡MÃSTÕ JANA NERUDY
N¡MÃSTÕ NERUDOVO;N¡MÃSTÕ JANA NERUDY
N¡MÃSTÕ J. äVERMY;N¡MÃSTÕ JANA äVERMY
N¡MÃSTÕ J. éIéKY;N¡MÃSTÕ JANA éIéKY
N¡MÃSTÕ JANA éIéKY Z TROCNOVA;N¡MÃSTÕ JANA éIéKY
N¡MÃSTÕ éIéKOVO;N¡MÃSTÕ JANA éIéKY
éIéKOVO N¡MÃSTÕ;N¡MÃSTÕ JANA éIéKY
SEIFERTOVO N¡MÃSTÕ;N¡MÃSTÕ JAROSLAVA SEIFERTA
N¡MÃSTÕ J. SEIFERTA;N¡MÃSTÕ JAROSLAVA SEIFERTA
N¡MÃSTÕ K. V. RAISE;N¡MÃSTÕ KARLA V¡CLAVA RAISE
RAISOVO N¡MÃSTÕ;N¡MÃSTÕ KARLA V¡CLAVA RAISE
N¡MÃSTÕ KARLA IV.;N¡MÃSTÕ KARLA »TVRT…HO
N¡MÃSTÕ DR. M. HOR¡KOV…;N¡MÃSTÕ MILADY HOR¡KOV…
BECHY“OVO N¡MÃSTÕ;N¡MÃSTÕ PROF. BECHYNÃ
N¡MÃSTÕ SV. TROJICE;N¡MÃSTÕ SVAT… TROJICE
N¡MÃSTÕ SV. MICHALA;N¡MÃSTÕ SVAT…HO MICHALA
N¡MÃSTÕ T. G. M.;N¡MÃSTÕ T. G. MASARYKA
N¡MÃSTÕ T.G.MASARYKA;N¡MÃSTÕ T. G. MASARYKA
N¡MÃSTÕ V.»TVRTKA;N¡MÃSTÕ V¡CLAVA »TVRTKA
BOHUSLAVA NÃMCE;NÃMCOVA
JOSEFA NÃMCE;NÃMCOVA
KARLA NÃMCE;NÃMCOVA
BLAéKOVA;OL. BLAéKA
FRANT. OPLTA;OPLTOVA
STANISL. OPLTA;OPLTOVA
O. NEDBALA;OSKARA NEDBALA
BÿEZINOVA;OTAKARA BÿEZINY
DR. BÿEZINY;OTAKARA BÿEZINY
OTOKARA BÿEZINY;OTAKARA BÿEZINY
OT. BÿEZINY;OTAKARA BÿEZINY
OT. OSTR»ILA;OTAKARA OSTR»ILA
KARLA OTTY;OTTOVA
JANA OTTY;OTTOVA
V¡CLAVA OTTY;OTTOVA
BENÕäKOV…;OT›LIE BENÕäKOV…
N¡MÃSTÕ PALACK…HO;PALACK…HO N¡MÃSTÕ
»SL. PARTYZ¡NŸ;PARTYZ¡NŸ
P. KÿÕéKOVSK…HO;PAVLA KÿÕéKOVSK…HO
PROF. LISTA;PAVLA LISTA
OTY PAVLA;PAVLOVA
JOSEFA PAVLA;PAVLOVA
GEN. PELL…;PELL…OVA
P. BEZRU»E;PETRA BEZRU»E
BEZRU»OVA;PETRA BEZRU»E
P. CHEL»ICK…HO;PETRA CHEL»ICK…HO
P. CINGRA;PETRA CINGRA
VOKOVA;PETRA VOKA
P. VOKA;PETRA VOKA
DR. PETRA;PETROVA
PARTYZ¡NA PETRA;PETROVA
O. PEäKA;PEäKOVA
DR. V¡CLAVA PEäKA;PEäKOVA
PLK. B. PETROVI»E;PLUKOVNÕKA PETROVI»E
SÕDLIäTÃ POD KAS¡RNY;POD KAS¡RNY
FR. POKORN…HO;POKORN…HO
BOH. POKORN…HO;POKORN…HO
L. POKORN…HO;POKORN…HO
R. POKORN…HO;POKORN…HO
V. POKORN…HO;POKORN…HO
KARLA POKORN…HO;POKORN…HO
POLIT. VÃZ“Ÿ;POLITICK›CH VÃZ“Ÿ
K. POL¡»KA;POL¡»KOVA
KARLA POL¡»KA;POL¡»KOVA
PLK. POL¡»KA;POL¡»KOVA
DR. POLÕVKY;POLÕVKOVA
GEOLOGA POäEPN…HO;POäEPN…HO
DR. ALBERTA PRAé¡KA;PRAé¡KOVA
PLK. RAJMUNDA PRCHALY;PRCHALOVA
JANA PROCH¡ZKY;PROCH¡ZKOVA
VOJTÃCHA PROCH¡ZKY;PROCH¡ZKOVA
F. F. PROCH¡ZKY;PROCH¡ZKOVA
V¡CLAVA PROCH¡ZKY;PROCH¡ZKOVA
DR. JIÿÕHO PROCH¡ZKY;PROCH¡ZKOVA
F. PROCH¡ZKY;PROCH¡ZKOVA
TOM¡äE PROCH¡ZKY;PROCH¡ZKOVA
F. X. PROCH¡ZKY;PROCH¡ZKOVA
ANTONÕNA PROCH¡ZKY;PROCH¡ZKOVA
PROF. FRANTIäKA VOJTÕäKA;PROFESORA FRANTIäKA VOJTÕäKA
VOJTÕäKOVA;PROFESORA FRANTIäKA VOJTÕäKA
PROTIFAä. BOJOVNÕKŸ;PROTIFAäISTICK›CH BOJOVNÕKŸ
PURKYNÃHO;PURKY“OVA
JIÿÕHO PURKYNÃ;PURKY“OVA
J. E. PURKYNÃ;PURKY“OVA
VLASTIMILA RADY;RADOVA
VL. RADY;RADOVA
V¡CLAVA RADY;RADOVA
DR. RANDY;RANDOVA
DOKTORA REYLA;REYLOVA
KARLA REZKA;REZKOVA
PETRA REZKA;REZKOVA
DR. RICHTRA;RICHTROVA
JAROMÕRA RICHTERA;RICHTROVA
DR. F. L. RIEGRA;RIEGROVA
DR. RIEGRA;RIEGROVA
BLAHNÕKOVA;ROMANA BLAHNÕKA
GAJDOäOVA;RUDOLFA GAJDOäE
HRUäÕNSK…HO;RUDOLFA HRUäÕNSK…HO
TÃSNOHLÕDKOVA;RUDOLFA TÃSNOHLÕDKA
R. TÃSNOHLÕDKA;RUDOLFA TÃSNOHLÕDKA
R. SVOBODOV…;RŸéENY SVOBODOV…
JOSEFA RŸéI»KY;RŸéI»KOVA
V. RŸéI»KY;RŸéI»KOVA
JANA RŸéI»KY;RŸéI»KOVA
DOKTORA RŸéI»KY;RŸéI»KOVA
»E“KA RŸéI»KY;RŸéI»KOVA
JANA SCHWARZE;SCHWARZOVA
K.SCHWARZE;SCHWARZOVA
KARLA SEDL¡KA;SEDL¡KOVA
V¡CLAVA SEDL¡KA;SEDL¡KOVA
JULIA SEDL¡KA;SEDL¡KOVA
AUG. SEDL¡»KA;SEDL¡»KOVA
V¡CLAVA SEDL¡»KA;SEDL¡»KOVA
A. SEDL¡»KA;SEDL¡»KOVA
PROF. SEEMANA;SEEMANOVA
PROF. SKLEN¡ÿE;SKLEN¡ÿOVA
ST. SLAVÕKA;SLAVÕKOVA
ANTONÕNA SLAVÕKA;SLAVÕKOVA
DR. SLAVÕKA;SLAVÕKOVA
JOS. SLAVÕ»KA;SLAVÕ»KOVA
ANT. SLAVÕ»KA;SLAVÕ»KOVA
JOSEFA SLAVÕ»KA;SLAVÕ»KOVA
ANTONÕNA SLAVÕ»KA;SLAVÕ»KOVA
A. SLAVÕ»KA;SLAVÕ»KOVA
SNP;SLOVENSK…HO N¡RODNÕHO POVST¡NÕ
SLOVENSK…HO N¡R. POVST¡NÕ;SLOVENSK…HO N¡RODNÕHO POVST¡NÕ
PROF. SMOTLACHY;SMOTLACHOVA
FR. SOCHORA;SOCHOROVA
PPLK. SOCHORA;SOCHOROVA
ANTONÕNA SOCHORA;SOCHOROVA
GEN. ANTONÕNA SOCHORA;SOCHOROVA
GEN. SOCHORA;SOCHOROVA
KPT. SOCHORA;SOCHOROVA
MALÕÿE SOCHORA;SOCHOROVA
DR. SOKOLA;SOKOLOVA
KARLA STANISLAVA SOKOLA;SOKOLOVA
N¡MÃSTÕ SOKOLOVSK…;SOKOLOVSK… N¡MÃSTÕ
ANT. SOVY;SOVOVA
MUDR. FRANTIäKA SOVY;SOVOVA
ANTONÕNA SOVY;SOVOVA
S. K. NEUMANNA;STANISLAVA KOSTKY NEUMANNA
S. K. NEUMANA;STANISLAVA KOSTKY NEUMANNA
ST. éIVN…HO;STANISLAVA éIVN…HO
A. STAäKA;STAäKOVA
MSGRE. B. STAäKA;STAäKOVA
ANTALA STAäKA;STAäKOVA
DR. STEJSKALA;STEJSKALOVA
DR. A. STOJANA;STOJANOVA
DR. STOJANA;STOJANOVA
PAVLA STR¡NSK…HO;STR¡NSK…HO
KPT. STR¡NSK…HO;STR¡NSK…HO
DR. STUDNI»KY;STUDNI»KOVA
GEN. SVATONÃ;SVATO“OVA
KPT. SVATONÃ;SVATO“OVA
F. X. SVOBODY;SVOBODOVA
VILIBALDA SVOBODY;SVOBODOVA
GEN. L. SVOBODY;SVOBODOVA
MILOäE SVOBODY;SVOBODOVA
FRANTIäKA SVOBODY;SVOBODOVA
L. SVOBODY;SVOBODOVA
JANA SVOBODY;SVOBODOVA
KARLA SVOBODY;SVOBODOVA
LUDVÕKA SVOBODY;SVOBODOVA
ARM. GEN. L. SVOBODY;SVOBODOVA
JOéKY SVOBODY;SVOBODOVA
GEN. LUDVÕKA SVOBODY;SVOBODOVA
JAKUBA SVOBODY;SVOBODOVA
JAR. SVOBODY;SVOBODOVA
GEN. SVOBODY;SVOBODOVA
PART. SVOBODY;SVOBODOVA
TOM¡äE SVOBODY;SVOBODOVA
DR. SVOBODY;SVOBODOVA
PROF. A. B. SVOJSÕKA;SVOJSÕKOVA
A. B. SVOJSÕKA;SVOJSÕKOVA
DR. SVÃR¡KA;SVÃR¡KOVA
ARCHIV¡ÿE TEPL…HO;TEPL…HO
ARCH. TEPL…HO;TEPL…HO
T. NOV¡KOV…;TEREZY NOV¡KOV…
GEN. R. TESAÿÕKA;TESAÿÕKOVA
JIÿÕHO TOMANA;TOMANOVA
KARLA TOMANA;TOMANOVA
JOSEFA TOM¡äKA;TOM¡äKOVA
MSGR. TOM¡äKA;TOM¡äKOVA
SAMO TOM¡äKA;TOM¡äKOVA
R. TOM¡äKA;TOM¡äKOVA
DR. TURKA;TURKOVA
DR. K. TU»KA;TU»KOVA
PROF. VOJTÃCHA TU»KA;TU»KOVA
DR. M. TYRäE;TYRäOVA
DR. TYRäE;TYRäOVA
M. TYRäE;TYRäOVA
JOSEFA TŸMY;TŸMOVA
F. S. TŸMY;TŸMOVA
SOKOLA TŸMY;TŸMOVA
DR. TŸMY;TŸMOVA
S. TŸMY;TŸMOVA
U KULT. DOMU;U KULTURNÕHO DOMU
DR. UHRA;UHROVA
JOSEFA UHRA;UHROVA
JANA UHRA;UHROVA
PROF. URBANA;URBANOVA
DR. VACKA;VACKOVA
K. VACKA;VACKOVA
DR. ANTONÕNA VACULÕKA;VACULÕKOVA
KPT. VAJDY;VAJDOVA
EDVARDA VALENTY;VALENTOVA
ARNOäTA VALENTY;VALENTOVA
VL. VAN»URY;VAN»UROVA
DR. VAN»URY;VAN»UROVA
VLADISLAVA VAN»URY;VAN»UROVA
FRANTIäKA VAN»URY;VAN»UROVA
VLADISL. VAN»URY;VAN»UROVA
ANTONÕNA VAäKA;VAäKOVA
RUDOLFA VAäKA;VAäKOVA
RUD. VAäKA;VAäKOVA
PROKOPA VELIK…HO;VELIK…HO
PETRA VELIK…HO;VELIK…HO
FRANTIäKA VESEL…HO;VESEL…HO
ONDÿEJE VESEL…HO;VESEL…HO
J. VESEL…HO;VESEL…HO
KARLA VESEL…HO;VESEL…HO
PR. VESEL…HO;VESEL…HO
PROF. VESEL…HO;VESEL…HO
DR. VESEL…HO;VESEL…HO
V. HUGA;VIKTORA HUGA
V. BLODKA;VIL…MA BLODKA
BLODKOVA;VIL…MA BLODKA
BEDN¡ÿOVA;VINCENCE BEDN¡ÿE
V. JAVOÿICK…;VLASTY JAVOÿICK…
JOS. VODI»KY;VODI»KOVA
POR. VODI»KY;VODI»KOVA
STANKO VODI»KY;VODI»KOVA
MARTINKOVA;VOJTÃCHA MARTÕNKA
VOJT. MARTÕNKA;VOJTÃCHA MARTÕNKA
DR. MARTÕNKA;VOJTÃCHA MARTÕNKA
MARTÕNKOVA;VOJTÃCHA MARTÕNKA
E. VOTO»KA;VOTO»KOVA
DOKTORA VOTO»KY;VOTO»KOVA
JANA VRBY;VRBOVA
J. VRBY;VRBOVA
OTAKARA VRBY;VRBOVA
VRCHLICK…HO SAD;VRCHLICK…HO SADY
BEZRU»OVY SADY;VRCHLICK…HO SADY
PLK. VR¡NY;VR¡NOVA
BER¡NKOVA;V¡CLAVA BER¡NKA
V. BROéÕKA;V¡CLAVA BROéÕKA
JIÿÕKOVSK¡;V¡CLAVA JIÿIKOVSK…HO
JIÿÕKOVSK…HO;V¡CLAVA JIÿIKOVSK…HO
V¡CL. MELENA;V¡CLAVA MELENA
V. RABASE;V¡CLAVA RABASE
RABASOVA;V¡CLAVA RABASE
TALICHOVA;V¡CLAVA TALICHA
V. TALICHA;V¡CLAVA TALICHA
SPALOVA;V¡CLAVA äP¡LY
äP¡LOVA;V¡CLAVA äP¡LY
V. äP¡LY;V¡CLAVA äP¡LY
MATOUäE V¡CLAVKA;V¡CLAVKOVA
B. V¡CLAVKA;V¡CLAVKOVA
BEDÿICHA V¡CLAVKA;V¡CLAVKOVA
N¡MÃSTÕ V¡CLAVSK…;V¡CLAVSK… N¡MÃSTÕ
V. H¡LKA;VÕTÃZSLAVA H¡LKA
H¡LKOVA;VÕTÃZSLAVA H¡LKA
VÕT. H¡LKA;VÕTÃZSLAVA H¡LKA
VÕTÃZ. NEZVALA;VÕTÃZSLAVA NEZVALA
V. NEZVALA;VÕTÃZSLAVA NEZVALA
VÕT. NEZVALA;VÕTÃZSLAVA NEZVALA
V. KOZ¡KOV…;VÃRY KOZ¡KOV…
WEISSOVA;WEISOVA
K. WEISSE;WEISOVA
JANA WEISSE;WEISOVA
K. WEISE;WEISOVA
ARCH. WEISSE;WEISOVA
ZIKMUNDA WINTRA;WINTROVA
DR. ZIKMUNDA WINTRA;WINTROVA
ZA KULTUR. DOMEM;ZA KULTURNÕM DOMEM
ZA KULT. DOMEM;ZA KULTURNÕM DOMEM
KPT. ZAVADILA;ZAVADILOVA
AUSTOVA;ZDE“KA AUSTA
äTÃP¡NKOVA;ZDE“KA äTÃP¡NKA
ZD. äTÃP¡NKA;ZDE“KA äTÃP¡NKA
»E“KA ZEMANA;ZEMANOVA
FR. ZEMANA;ZEMANOVA
FRANTIäKA ZEMANA;ZEMANOVA
GEN. Z¡VADY;Z¡VADOVA
KARLA »APKA;»APKOVA
JANA »APKA;»APKOVA
JOS. »APKA;»APKOVA
K. »APKA;»APKOVA
JOSEFA »APKA;»APKOVA
SV. »ECHA;»ECHOVA
S. »ECHA;»ECHOVA
SVAT. »ECHA;»ECHOVA
SV.»ECHA;»ECHOVA
SVATOPLUKA »ECHA;»ECHOVA
LEANDRA »ECHA;»ECHOVA
JOS. »EJKY;»EJKOVA
DR. »EJKY;»EJKOVA
F. »EJKY;»EJKOVA
FERD. »ERM¡KA;»ERM¡KOVA
ANTONÕNA »ERM¡KA;»ERM¡KOVA
KLIMENTA »ERM¡KA;»ERM¡KOVA
FR. »ERNOHORSK…HO;»ERNOHORSK…HO
JOS. »ERNOHORSK…HO;»ERNOHORSK…HO
K. »ERN…HO;»ERN…HO
KARLA »ERN…HO;»ERN…HO
J. »ERN…HO;»ERN…HO
JANA »ERN…HO;»ERN…HO
FR. »ERN…HO;»ERN…HO
FRANTIäKA »ERN…HO;»ERN…HO
MJR. KARLA »ERN…HO;»ERN…HO
REN… »ERN…HO;»ERN…HO
FRANTIäKA »ERVEN…HO;»ERVEN…HO
JIÿÕHO »ERVEN…HO;»ERVEN…HO
BENDLOVA;»E“KA BENDLA
»SL. ARM¡DY;»S. ARM¡DY
»SA;»S. ARM¡DY
GEN. »¡PKA;»¡PKOVA
FRANTIäKA ÿÕHY;ÿÕHOVA
FR. äAFAÿÕKA;äAFAÿÕKOVA
JOSEFA äAFAÿÕKA;äAFAÿÕKOVA
MJR. äANDERY;äANDEROVA
OT. äEV»ÕKA;äEV»ÕKOVA
MARTINA äEV»ÕKA;äEV»ÕKOVA
JOSEFA äEV»ÕKA;äEV»ÕKOVA
OTAKARA äEV»ÕKA;äEV»ÕKOVA
LADISLAVA äEV»ÕKA;äEV»ÕKOVA
ANTONÕNA äIMKA;äIMKOVA
DR. äIMKA;äIMKOVA
GEN. äIMKA;äIMKOVA
GEN. äIäKY;äIäKOVA
M. R. äTEF¡NIKA;äTEF¡NIKOVA
GEN. äTEF¡NIKA;äTEF¡NIKOVA
N¡MÃSTÕ äTEF¡NIKOVO;äTEF¡NIKOVO N¡MÃSTÕ
BEZRU»ŸV SAD;äTÃP¡NŸV SAD
PPLK. VLAD. äTÃRBY;äTÃRBOVA
PPLK. VLADIMÕRA äTÃRBY;äTÃRBOVA
MJR. äULCE;äULCOVA
DR. äUSTY;äUSTOVA
PLK. äVECE;äVECOVA
JAROSLAVA äVEHLY;äVEHLOVA
JOSEFA äVEHLY;äVEHLOVA
KARLA äÕPKA;äÕPKOVA
JAROSLAVA äÕPKA;äÕPKOVA
CT. äçASTN…HO;äçASTN…HO
JANA äçASTN…HO;äçASTN…HO
ALF. äçASTN…HO;äçASTN…HO
DR. éIVANSK…HO;éIVANSK…HO
JANA éIéKY;éIéKOVA
J. éIéKY;éIéKOVA
JOSEFA éIéKY;éIéKOVA
JUDR. A. éL¡BKA;éL¡BKOVA
MARä¡LA éUKOVA;éUKOVOVA
