'Kod','CislaDomovni','IdentifikacniParcela','TypStavebnihoObjektuKod','ZpusobVyuzitiKod','CastObce','Momc','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','IsknBudovaId','Dokonceni','ZastavenaPlocha','NespravneUdaje','OznacenoDne','OznacenoInfo','IdentifikactniParcela','PocetBytu','PocetPodlazi','PodlahovaPlocha','VybaveniVytahemKod','x','y'
17199760,'29',2442526308,1,3,14389,,,2013-12-22,,441335,477522,295943308,,,,,,,1,1,,2,-748807.23,-1136073.34
17199859,'38',2442527308,1,3,14389,,,2013-12-22,,441335,477522,295992308,,,,,,,1,1,,2,-748835.06,-1136042.25
17199921,'45',2442575308,1,3,14389,,,2013-12-22,,441335,477522,295959308,,,,,,,1,1,,9,-747758.13,-1134628.63
17199930,'46',2442572308,1,3,14389,,,2013-12-22,,441335,477522,296025308,,,,,,,1,1,,9,-747788.63,-1134591
54167167,'144',29508587010,1,7,193828,,,2013-06-04,,308398,411370,15982932010,2013-05-07,74,,,,,1,1,57,2,-733045.74,-1136524.67
25314343,'485',3024075308,1,6,55476,,,2013-12-22,,441376,477570,405760308,2003-06-02,498,,,,,17,3,,2,-725242.05,-1120973.34
25334387,'72',2708853308,1,7,153222,,,2013-12-22,,441490,477710,327403308,2003-09-18,,,,,,1,1,,2,-748215,-1122055
17200059,'58',2442573308,1,3,14389,,,2013-12-22,,441335,477522,295960308,,,,,,,1,1,,9,-747778.75,-1134606.63
17200121,'65',2442639308,1,3,14389,,,2013-12-22,,441335,477522,295977308,,,,,,,1,1,,2,-748929.38,-1135876.13
17200130,'66',2442567308,1,7,14389,,,2013-12-22,,441335,477522,295912308,,,,,,,1,1,,9,-747765,-1134541.5
17200202,'73',2442636308,1,3,14389,,,2013-12-22,,441335,477522,295919308,,,,,,,6,3,,2,-748719,-1136383.38
17200211,'74',2442646308,1,3,14389,,,2013-12-22,,441335,477522,295987308,,,,,,,1,1,,2,-749114.38,-1135828.75
