'Kod','CisloDomovni','CisloOrientacni','CisloOrientacniPismeno','Psc','StavebniObjekt','Ulice','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo','x','y'
'6636748','200',,,'39133','6592473','572527',,'2013-12-03',,'416474','462805',,,,'-744385','-1110777.63'
'6636900','218',,,'39133','6592635','572403',,'2013-12-03',,'416474','462805',,,,'-744427.31','-1110569'
'6637311','260',,,'39133','6593046','572501',,'2013-12-03',,'416474','462805',,,,'-744008.56','-1110375.25'
'6637370','266',,,'39133','6593101','572543',,'2013-12-03',,'416474','462805',,,,'-743956.56','-1110320.88'
'6637400','269',,,'39133','6593135','572543',,'2013-12-03',,'416474','462805',,,,'-743914','-1110343'
'6637485','277',,,'39133','6593216','572497',,'2013-12-03',,'416474','462805',,,,'-743835.31','-1110326.5'
'6637582','287',,,'39133','6593313','572497',,'2013-12-03',,'416474','462805',,,,'-743935.88','-1110282.38'
'6637990','1',,,'39133','6593721',,,'2013-12-03',,'416474','462805',,,,'-746358.45','-1110094.61'
'6638457','11',,,'39201','6594085',,,'2013-12-05',,'423207','469154',,,,'-733944.46','-1134859.19'
'6638732','25',,,'39201','6594221',,,'2013-12-05',,'423207','469154',,,,'-734226.77','-1135048.88'
'6638775','27',,,'39201','6594247',,,'2013-12-05',,'423207','469154',,,,'-734047.42','-1135022.09'
'6638856','31',,,'39201','6594280',,,'2013-12-05',,'423207','469154',,,,'-734100.72','-1135076.92'
'6638945','36',,,'39201','6594336',,,'2013-12-05',,'423207','469154',,,,'-733999.99','-1135092.01'
'6638961','37',,,'39201','6594344',,,'2013-12-05',,'423207','469154',,,,'-733974.5','-1135040.91'
'6639224','51',,,'39201','6594484',,,'2013-12-05',,'423207','469154',,,,'-734016.21','-1134997.32'
'6639402','60',,,'39201','6594573',,,'2013-12-05',,'423207','469154',,,,'-734847','-1134635.48'
'6639429','61',,,'39201','6594581',,,'2013-12-05',,'423207','469154',,,,'-734800.44','-1134657.97'
